user1_id,user2_id
108,186
186,108
6,13
13,6
19,121
121,19
9,106
106,9
111,166
166,111
68,37
37,68
34,44
44,34
178,165
165,178
93,118
118,93
49,154
154,49
144,103
103,144
40,140
140,40
33,153
153,33
104,198
198,104
92,80
80,92
178,97
97,178
33,48
48,33
143,37
37,143
89,198
198,89
80,100
100,80
84,32
32,84
100,163
163,100
13,72
72,13
33,112
112,33
31,84
84,31
116,107
107,116
104,123
123,104
173,47
47,173
72,98
98,72
174,156
156,174
12,117
117,12
89,111
111,89
177,107
107,177
32,72
72,32
25,197
197,25
112,165
165,112
126,106
106,126
194,165
165,194
55,33
33,55
10,61
61,10
80,116
116,80
141,56
56,141
186,118
118,186
121,99
99,121
31,112
112,31
68,57
57,68
68,99
99,68
157,176
176,157
7,59
59,7
84,61
61,84
94,140
140,94
55,169
169,55
55,168
168,55
169,181
181,169
57,179
179,57
186,180
180,186
22,114
114,22
69,200
200,69
91,160
160,91
115,30
30,115
39,128
128,39
108,82
82,108
116,119
119,116
69,18
18,69
186,106
106,186
190,165
165,190
28,37
37,28
31,109
109,31
173,177
177,173
128,46
46,128
27,23
23,27
96,160
160,96
52,26
26,52
148,116
116,148
123,59
59,123
23,91
91,23
53,197
197,53
131,118
118,131
73,79
79,73
124,48
48,124
54,115
115,54
88,76
76,88
50,133
133,50
114,164
164,114
142,156
156,142
8,73
73,8
71,51
51,71
73,172
172,73
2,168
168,2
77,171
171,77
141,133
133,141
86,160
160,86
196,154
154,196
138,19
19,138
67,9
9,67
199,186
186,199
32,25
25,32
138,9
9,138
66,196
196,66
148,64
64,148
25,195
195,25
97,44
44,97
49,142
142,49
175,174
174,175
162,2
2,162
178,71
71,178
88,23
23,88
154,117
117,154
48,190
190,48
198,131
131,198
12,5
5,12
67,141
141,67
174,8
8,174
165,6
6,165
103,65
65,103
106,157
157,106
16,128
128,16
178,163
163,178
111,88
88,111
14,55
55,14
15,100
100,15
111,77
77,111
14,40
40,14
180,65
65,180
149,110
110,149
40,170
170,40
126,136
136,126
84,127
127,84
81,141
141,81
175,173
173,175
4,164
164,4
52,37
37,52
2,172
172,2
176,127
127,176
167,61
61,167
42,191
191,42
175,26
26,175
130,76
76,130
88,132
132,88
140,182
182,140
82,172
172,82
41,199
199,41
200,10
10,200
33,94
94,33
181,64
64,181
152,186
186,152
63,35
35,63
30,191
191,30
148,12
12,148
11,40
40,11
181,91
91,181
187,9
9,187
183,85
85,183
44,81
81,44
136,64
64,136
89,168
168,89
51,174
174,51
89,55
55,89
188,170
170,188
142,170
170,142
57,53
53,57
133,146
146,133
44,111
111,44
63,130
130,63
186,187
187,186
155,164
164,155
66,3
3,66
158,152
152,158
103,122
122,103
20,91
91,20
120,49
49,120
185,17
17,185
194,21
21,194
55,6
6,55
168,11
11,168
48,162
162,48
33,124
124,33
10,187
187,10
191,179
179,191
109,55
55,109
42,164
164,42
48,50
50,48
76,160
160,76
103,93
93,103
71,49
49,71
3,50
50,3
129,152
152,129
134,17
17,134
130,42
42,130
26,28
28,26
133,130
130,133
153,14
14,153
145,53
53,145
30,41
41,30
178,11
11,178
183,52
52,183
123,136
136,123
71,131
131,71
101,169
169,101
74,169
169,74
185,86
86,185
24,128
128,24
20,120
120,20
29,174
174,29
5,43
43,5
41,79
79,41
27,150
150,27
137,140
140,137
178,50
50,178
59,184
184,59
182,187
187,182
119,44
44,119
197,105
105,197
167,134
134,167
35,139
139,35
89,69
69,89
131,87
87,131
83,73
73,83
178,189
189,178
142,189
189,142
122,54
54,122
21,26
26,21
136,43
43,136
52,21
21,52
12,35
35,12
100,89
89,100
75,127
127,75
102,35
35,102
98,165
165,98
179,86
86,179
73,10
10,73
179,166
166,179
134,44
44,134
178,187
187,178
144,115
115,144
171,97
97,171
63,191
191,63
61,8
8,61
5,145
145,5
57,132
132,57
88,139
139,88
162,151
151,162
170,31
31,170
147,198
198,147
115,105
105,115
100,170
170,100
156,160
160,156
138,107
107,138
91,97
97,91
163,42
42,163
176,84
84,176
3,41
41,3
140,121
121,140
14,17
17,14
192,149
149,192
66,195
195,66
179,173
173,179
183,75
75,183
97,153
153,97
2,144
144,2
198,18
18,198
63,82
82,63
71,77
77,71
1,162
162,1
51,31
31,51
115,31
31,115
56,83
83,56
89,41
41,89
167,47
47,167
55,150
150,55
174,154
154,174
84,38
38,84
40,147
147,40
145,187
187,145
85,13
13,85
149,67
67,149
192,123
123,192
136,1
1,136
172,159
159,172
154,61
61,154
18,171
171,18
20,113
113,20
140,71
71,140
182,113
113,182
78,84
84,78
19,72
72,19
59,114
114,59
110,167
167,110
13,189
189,13
73,3
3,73
48,100
100,48
73,41
41,73
34,71
71,34
12,41
41,12
142,150
150,142
196,102
102,196
30,158
158,30
62,44
44,62
194,27
27,194
68,112
112,68
20,104
104,20
108,98
98,108
22,52
52,22
197,172
172,197
50,196
196,50
95,63
63,95
35,143
143,35
50,117
117,50
10,59
59,10
120,65
65,120
94,14
14,94
93,114
114,93
184,104
104,184
107,129
129,107
99,142
142,99
155,95
95,155
118,189
189,118
103,9
9,103
126,8
8,126
128,140
140,128
1,112
112,1
100,178
178,100
46,50
50,46
7,39
39,7
171,55
55,171
66,13
13,66
175,145
145,175
37,122
122,37
98,150
150,98
12,174
174,12
113,35
35,113
137,184
184,137
179,83
83,179
29,45
45,29
184,20
20,184
167,103
103,167
7,160
160,7
129,179
179,129
195,138
138,195
161,76
76,161
55,90
90,55
5,177
177,5
54,188
188,54
61,29
29,61
190,180
180,190
42,67
67,42
23,82
82,23
164,107
107,164
110,56
56,110
187,150
150,187
37,80
80,37
106,77
77,106
198,121
121,198
67,152
152,67
110,115
115,110
169,25
25,169
144,53
53,144
43,184
184,43
57,79
79,57
100,169
169,100
120,63
63,120
94,37
37,94
105,161
161,105
76,29
29,76
98,61
61,98
138,60
60,138
59,169
169,59
89,185
185,89
156,93
93,156
99,47
47,99
38,37
37,38
108,125
125,108
108,150
150,108
184,37
37,184
88,25
25,88
100,4
4,100
119,32
32,119
113,123
123,113
73,22
22,73
19,81
81,19
49,121
121,49
41,6
6,41
132,11
11,132
68,197
197,68
191,116
116,191
30,17
17,30
156,185
185,156
142,157
157,142
179,25
25,179
122,105
105,122
200,13
13,200
17,187
187,17
69,187
187,69
44,49
49,44
98,184
184,98
96,11
11,96
155,162
162,155
49,135
135,49
196,61
61,196
142,46
46,142
